Entity,Code,Year,Share of global annual COâ‚‚ emissions,Origin,,
China,CHN,2021,30.902962,Asia,,
United States,USA,2021,13.488192,North America,,
European Union (28),,2021,8.457607,Europe,,
India,IND,2021,7.2990375,Asia,,
Russia,RUS,2021,4.7288938,Europe,,
Japan,JPN,2021,2.8752363,Asia,,
Iran,IRN,2021,2.0172443,Asia,,
Germany,DEU,2021,1.8175743,Europe,,
Saudi Arabia,SAU,2021,1.8111804,Asia,,
Indonesia,IDN,2021,1.6681392,Asia,,
South Korea,KOR,2021,1.6595128,Asia,,
Canada,CAN,2021,1.469768,North America,,
Brazil,BRA,2021,1.3168921,South America,,
Turkey,TUR,2021,1.201934,Europe,,
South Africa,ZAF,2021,1.1742556,Africa,,
Mexico,MEX,2021,1.0968826,North America,,
Australia,AUS,2021,1.0537361,Oceania,,
United Kingdom,GBR,2021,0.93409806,Europe,,
Italy,ITA,2021,0.8853805,Europe,,
Poland,POL,2021,0.88509077,Europe,,
Vietnam,VNM,2021,0.8781785,Asia,,
France,FRA,2021,0.8241702,Europe,,
Taiwan,TWN,2021,0.76192546,Asia,,
Thailand,THA,2021,0.75018,Asia,,
Kazakhstan,KAZ,2021,0.7452984,Asia,,
Malaysia,MYS,2021,0.6897155,Asia,,
Egypt,EGY,2021,0.6724091,Asia,,
Spain,ESP,2021,0.6293785,Europe,,
Pakistan,PAK,2021,0.6182343,Asia,,
United Arab Emirates,ARE,2021,0.5497454,Asia,,
Ukraine,UKR,2021,0.54374135,Europe,,
Argentina,ARG,2021,0.50223315,South America,,
Iraq,IRQ,2021,0.4998961,Asia,,
Algeria,DZA,2021,0.47481355,Africa,,
Philippines,PHL,2021,0.3886016,Asia,,
Netherlands,NLD,2021,0.3799321,Europe,,
Nigeria,NGA,2021,0.36899942,Africa,,
Uzbekistan,UZB,2021,0.32763702,Asia,,
Kuwait,KWT,2021,0.2858924,Asia,,
Czechia,CZE,2021,0.26166016,Europe,,
Belgium,BEL,2021,0.2578458,Europe,,
Qatar,QAT,2021,0.25769734,Asia,,
Bangladesh,BGD,2021,0.25098673,Asia,,
Colombia,COL,2021,0.24702011,South America,,
Chile,CHL,2021,0.2301672,South America,,
Turkmenistan,TKM,2021,0.22359428,Asia,,
Oman,OMN,2021,0.21816483,Asia,,
Venezuela,VEN,2021,0.21481231,North America,,
Romania,ROU,2021,0.21368165,Europe,,
Libya,LBY,2021,0.20074718,Africa,,
Morocco,MAR,2021,0.19011408,Africa,,
Austria,AUT,2021,0.17408104,Europe,,
Belarus,BLR,2021,0.16055031,Europe,,
North Korea,PRK,2021,0.1518703,Europe,,
Greece,GRC,2021,0.15167952,Europe,,
Peru,PER,2021,0.15160604,South America,,
Israel,ISR,2021,0.14688276,Asia,,
Mongolia,MNG,2021,0.13553528,Asia,,
Hungary,HUN,2021,0.13052154,Europe,,
Bulgaria,BGR,2021,0.11464386,Europe,,
Ecuador,ECU,2021,0.111307785,North America,,
Norway,NOR,2021,0.110221736,Europe,,
Portugal,PRT,2021,0.109894894,Europe,,
Bahrain,BHR,2021,0.10509709,Asia,,
Azerbaijan,AZE,2021,0.10368753,Asia,,
Finland,FIN,2021,0.10128887,Europe,,
Ireland,IRL,2021,0.101121865,Europe,,
Myanmar,MMR,2021,0.09779902,Asia,,
Trinidad and Tobago,TTO,2021,0.097306825,North America,,
Sweden,SWE,2021,0.09656581,Europe,,
Slovakia,SVK,2021,0.095109254,Europe,,
Switzerland,CHE,2021,0.094095014,Europe,,
New Zealand,NZL,2021,0.09101918,Oceania,,
Singapore,SGP,2021,0.08756336,Asia,,
Hong Kong,HKG,2021,0.0852939,Asia,,
Tunisia,TUN,2021,0.085074,Africa,,
Serbia,SRB,2021,0.08315136,Europe,,
Denmark,DNK,2021,0.07967103,Europe,,
Dominican Republic,DOM,2021,0.07790704,North America,,
Syria,SYR,2021,0.0727316,Asia,,
Jordan,JOR,2021,0.068941444,Asia,,
Lebanon,LBN,2021,0.06723144,Asia,,
Bolivia,BOL,2021,0.062821254,South America,,
Cuba,CUB,2021,0.059415527,North America,,
Angola,AGO,2021,0.05754445,Africa,,
Ghana,GHA,2021,0.05741,Africa,,
Sudan,SDN,2021,0.05667035,Africa,,
Sri Lanka,LKA,2021,0.055977248,Asia,,
Laos,LAO,2021,0.055968065,Asia,,
Guatemala,GTM,2021,0.05475484,North America,,
Kenya,KEN,2021,0.053538095,Africa,,
Cambodia,KHM,2021,0.05125707,Asia,,
Ethiopia,ETH,2021,0.04792755,Africa,,
Croatia,HRV,2021,0.04768215,Europe,,